LINKID,CELLID,LAC,
426,20969,54205,Shanghai@204
425,20969,54205,
444,20969,54205,
443,20969,54205,
442,20969,54205,
445,20969,54205,
446,20969,54205,
447,20969,54205,
448,20969,54205,
449,20969,54205,
450,20969,54205,
451,20969,54205,
452,20969,54205,
453,20969,54205,
454,20969,54205,
455,20969,54205,
456,20969,54205,
435,20969,54205,
436,20969,54205,
437,20969,54205,
434,20969,54205,
438,20969,54205,
439,20969,54205,
440,20969,54205,
441,20969,54205,
10641,20969,54205,
10642,20969,54205,
10643,20969,54205,
10644,20969,54205,
10645,20969,54205,
10646,20969,54205,
10647,20969,54205,
10648,20969,54205,
10649,20969,54205,
10650,20969,54205,
10651,20969,54205,
10652,20969,54205,
10653,20969,54205,
10654,20969,54205,
10655,20969,54205,
10633,20969,54205,
10087,20969,54205,
10632,20969,54205,
10634,20969,54205,
10635,20969,54205,
10636,20969,54205,
10661,20969,54205,
10664,20969,54205,
10666,20969,54205,
10637,20969,54205,
10659,20969,54205,
10656,20969,54205,
10657,20969,54205,
10658,20969,54205,
10660,20969,54205,
10663,20969,54205,
10766,20969,25454,xianfu@204
541,20969,25454,
10769,20969,25454,
535,20969,25454,
10767,20969,25454,
540,20969,25454,
10768,20969,25454,
539,20969,25454,
19765,20969,25454,
544,20969,25454,
10764,20969,25454,
543,20969,25454,
10763,20969,25454,
542,20969,25454,
10757,20969,25454,
19758,20969,25454,
534,20969,25454,
10759,20969,25454,
536,20969,25454,
10760,20969,25454,
538,20969,25454,
10761,20969,25454,
533,20969,25454,
10762,20969,25454,
537,20969,25454,
10754,20969,25454,
10755,20969,25454,
10756,20969,25454,
531,20969,25454,
530,20969,25454,
532,20969,25454,
10751,20969,25454,
528,20969,25454,
10752,20969,25454,
529,20969,25454,
10753,20969,25454,
527,20969,25454,
10745,20969,25454,
526,20969,25454,
10746,20969,25454,
523,20969,25454,
10747,20969,25454,
524,20969,25454,
10748,20969,25454,
521,20969,25454,
10749,20969,25454,
522,20969,25454,
10750,20969,25454,
525,20969,25454,
10780,20969,25454,
10770,20969,25454,
10773,20969,25454,
10771,20969,25454,
10776,20969,25454,
10775,20969,25454,
10779,20969,25454,
10772,20969,25454,
10778,20969,25454,
10777,20969,25454,
10774,20969,25454,
10721,20969,25425,Xianfu@Renmin
501,20969,25425,
10739,20969,25425,
516,20969,25425,
10730,20969,25425,
10722,20969,25425,
505,20969,25425,
10740,20969,25425,
492,20969,25425,
10704,20969,25425,
10723,20969,25425,
504,20969,25425,
10741,20969,25425,
496,20969,25425,
10711,20969,25425,
10729,20969,25425,
511,20969,25425,
10744,20969,25425,
503,20969,25425,
10724,20969,25425,
10728,20969,25425,
512,20969,25425,
10742,20969,25425,
498,20969,25425,
10710,20969,25425,
10727,20969,25425,
515,20969,25425,
10743,20969,25425,
489,20969,25425,
10703,20969,25425,
10706,20969,25425,
490,20969,25425,
10738,20969,25425,
514,20969,25425,
10732,20969,25425,
10707,20969,25425,
491,20969,25425,
10737,20969,25425,
506,20969,25425,
10725,20969,25425,
10708,20969,25425,
493,20969,25425,
10736,20969,25425,
497,20969,25425,
10709,20969,25425,
10714,20969,25425,
500,20969,25425,
10733,20969,25425,
502,20969,25425,
10726,20969,25425,
10713,20969,25425,
499,20969,25425,
10734,20969,25425,
513,20969,25425,
10731,20969,25425,
10712,20969,25425,
495,20969,25425,
10735,20969,25425,
494,20969,25425,
10705,20969,25425,
10690,20969,25418,Shanghai@Renmin
10689,20969,25418,
10688,20969,25418,
483,20969,25418,
482,20969,25418,
481,20969,25418,
10687,20969,25418,
10686,20969,25418,
10685,20969,25418,
469,20969,25418,
480,20969,25418,
484,20969,25418,
10667,20969,25418,
10668,20969,25418,
10669,20969,25418,
10670,20969,25418,
10671,20969,25418,
10672,20969,25418,
464,20969,25418,
463,20969,25418,
465,20969,25418,
462,20969,25418,
466,20969,25418,
461,20969,25418,
472,20969,25418,
471,20969,25418,
470,20969,25418,
468,20969,25418,
467,20969,25418,
10673,20969,25418,
10674,20969,25418,
10675,20969,25418,
10677,20969,25418,
10676,20969,25418,
10678,20969,25418,
478,20969,25418,
477,20969,25418,
476,20969,25418,
475,20969,25418,
474,20969,25418,
473,20969,25418,
10683,20969,25418,
10682,20969,25418,
10684,20969,25418,
10681,20969,25418,
10680,20969,25418,
10679,20969,25418,
10699,20969,25418,
10696,20969,25418,
10698,20969,25418,
10702,20969,25418,
10700,20969,25418,
10691,20969,25418,
10694,20969,25418,
10697,20969,25418,
10693,20969,25418,
10695,20969,25418,
10701,20969,25418,
10692,20969,25418,
